Nombre;DNI;Tipo Cliente;Año Ingreso;Estado;NumCliente
Juan Pérez;43559030;Oro;2023;ACTIVO;1001
María Gómez;22305945;Plata;2014;ACTIVO;1002
Carlos López;37386298;Plata;2007;ACTIVO;1003
Ana Martínez;45168247;Plata;2024;BAJA;1004
Luis Fernández;34424588;Platino;2015;BAJA;1005
Sofía Herrera;47082137;Plata;2024;ACTIVO;1006
Diego Ruiz;37635208;Platino;2021;BAJA;1007
Camila Torres;41935431;Platino;2006;BAJA;1008
Javier Sánchez;29917508;Plata;2008;BAJA;1009
Lucía Castro;21075735;Oro;2023;ACTIVO;1010
Martín Díaz;36723979;Oro;2006;BAJA;1011
Valentina Romero;48703732;Oro;2009;BAJA;1012
Pedro Silva;37562352;Platino;2007;BAJA;1013
Florencia Navarro;42491971;Oro;2022;BAJA;1014
Tomás Vega;41630104;Plata;2014;BAJA;1015
Julieta Cabrera;48514744;Plata;2016;BAJA;1016
Nicolás Benítez;31953538;Oro;2011;ACTIVO;1017
Daniela Ortiz;40382624;Plata;2024;BAJA;1018
Agustín Rojas;32790696;Oro;2007;BAJA;1019
Micaela Duarte;41580996;Plata;2010;ACTIVO;1020
